Feature,Importance
categorical__Route_Of_Administration_SUBCUTANEOUS,0.0009891066
categorical__Ingredient_DEXAMETHASONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE,0.0009746184
categorical__Strength_0.1%,0.0009693003
categorical__Ingredient_DOXEPIN HYDROCHLORIDE,0.00096812024
categorical__Ingredient_LIRAGLUTIDE,0.0009647212
categorical__Ingredient_GENTAMICIN SULFATE,0.000961577
categorical__Ingredient_VALSARTAN,0.00096141995
categorical__Ingredient_PAMIDRONATE DISODIUM,0.0009605291
categorical__Ingredient_NITROGLYCERIN,0.00095978676
categorical__Ingredient_CIPROFLOXACIN; DEXAMETHASONE,0.00095444586
categorical__Strength_0.01%,0.0009504135
"categorical__DF;Route_SOLUTION, METERED;TRANSDERMAL",0.00094582606
categorical__Ingredient_ETHINYL ESTRADIOL; LEVONORGESTREL,0.0009455907
categorical__Ingredient_FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE,0.0009423226
categorical__DF;Route_FOR SUSPENSION;ORAL,0.0009357529
categorical__Ingredient_VENLAFAXINE HYDROCHLORIDE,0.0009328498
categorical__Route_Of_Administration_INTRAPERITONEAL,0.00092001096
categorical__Strength_0.77%,0.0009142935
categorical__Ingredient_DICLOFENAC SODIUM,0.00090926484
categorical__Strength_200MG,0.0009077081
"categorical__DF;Route_TABLET, ORALLY DISINTEGRATING;ORAL",0.0009068675
categorical__Ingredient_CAPECITABINE,0.0008995696
categorical__DF;Route_INJECTABLE;INTRAVENOUS,0.00089411874
categorical__Strength_800MG,0.0008901364
categorical__DF;Route_OINTMENT;TOPICAL,0.0008870562
categorical__Ingredient_PROPRANOLOL HYDROCHLORIDE,0.00088219455
categorical__Strength_5%,0.0008818621
categorical__Ingredient_ACETAMINOPHEN,0.0008779115
categorical__Strength_500MG,0.00087594445
"categorical__Route_Of_Administration_INTRAMUSCULAR, SUBCUTANEOUS",0.0008693029
"categorical__Ingredient_ACETIC ACID, GLACIAL",0.00086082146
categorical__Strength_30MG/1.5ML ACTUATION,0.0008583176
categorical__Strength_2.5%,0.00084681466
"categorical__Dosage_Form_AEROSOL, FOAM",0.0008426226
"categorical__DF;Route_POWDER;ORAL, RECTAL",0.00084194663
categorical__Ingredient_BUPRENORPHINE,0.000841214
categorical__Ingredient_HYDROCORTISONE; NEOMYCIN SULFATE; POLYMYXIN B SULFATE,0.0008367394
categorical__Strength_0.004%,0.0008320279
"categorical__DF;Route_TABLET, DELAYED RELEASE;ORAL",0.00083145243
categorical__Ingredient_RIVASTIGMINE,0.0008259314
categorical__Strength_90MG,0.00079965056
categorical__Ingredient_CICLOPIROX,0.0007937772
"categorical__DF;Route_SOLUTION;INTRAMUSCULAR, INTRAVENOUS",0.00079351355
categorical__Strength_EQ 200MG IRON/10ML (EQ 20MG IRON/ML),0.00079205
categorical__Ingredient_MYCOPHENOLATE MOFETIL,0.00078909454
categorical__DF;Route_EMULSION;OPHTHALMIC,0.00078704505
categorical__Route_Of_Administration_VAGINAL,0.0007853094
categorical__Dosage_Form_LOTION,0.00077108823
categorical__DF;Route_GEL;TRANSDERMAL,0.00076149503
categorical__Strength_EQ 6MG BASE/0.5ML (EQ 12MG BASE/ML),0.00076122145
categorical__Strength_30MG/10ML (3MG/ML),0.000755397
categorical__Strength_1.25MG,0.00075243134
"categorical__Dosage_Form_TABLET, ORALLY DISINTEGRATING",0.0007521931
categorical__Ingredient_FLUPHENAZINE DECANOATE,0.0007409628
categorical__Ingredient_BUSPIRONE HYDROCHLORIDE,0.00073601655
categorical__Ingredient_DESOXIMETASONE,0.000735972
categorical__Ingredient_IOPAMIDOL,0.0007322205
"categorical__Route_Of_Administration_INTRAVENOUS, SUBCUTANEOUS",0.00073119166
categorical__Ingredient_TACROLIMUS,0.00072808715
categorical__Strength_150MG,0.00072629773
categorical__Ingredient_FENTANYL,0.0007232735
categorical__Ingredient_FUROSEMIDE,0.00072319154
categorical__Ingredient_DEXMETHYLPHENIDATE HYDROCHLORIDE,0.00072020397
categorical__Strength_1.5%,0.0007196497
categorical__Ingredient_FLUOCINONIDE,0.0007092184
categorical__Ingredient_MEMANTINE HYDROCHLORIDE,0.0007073264
"categorical__Strength_1%;EQ 3.5MG BASE/ML;10,000 UNITS/ML",0.00070008135
categorical__Ingredient_PROGESTERONE,0.0006984313
categorical__Strength_20MEQ,0.0006975084
categorical__Ingredient_MOXIFLOXACIN HYDROCHLORIDE,0.0006927057
categorical__Route_Of_Administration_IM-IV,0.0006761587
categorical__Strength_1.25MG;1.25MG;1.25MG;1.25MG,0.000672097
categorical__Strength_EQ 20MG BASE/VIAL,0.0006620907
categorical__Ingredient_OLANZAPINE,0.0006620423
categorical__Strength_25MG/5ML (5MG/ML),0.0006541964
"categorical__DF;Route_SOLUTION;IRRIGATION, URETHRAL",0.0006527571
categorical__Ingredient_THIOTEPA,0.00065193267
categorical__Strength_50MG/ML (50MG/ML),0.00065162656
categorical__Ingredient_PROPAFENONE HYDROCHLORIDE,0.0006452295
categorical__Strength_EQ 0.2MG BASE/ML,0.00064292905
categorical__Strength_100MG/ML,0.000640443
categorical__Strength_10MG/VIAL,0.000636186
categorical__Ingredient_AMOXICILLIN,0.0006351289
categorical__Ingredient_AMITRIPTYLINE HYDROCHLORIDE,0.00063235784
categorical__Strength_100MG/PACKET,0.0006261407
categorical__Ingredient_KETOCONAZOLE,0.00062197616
categorical__Strength_EQ 0.05MG BASE/ML,0.0006190663
categorical__Ingredient_SCOPOLAMINE,0.00061429694
categorical__Strength_250MG,0.0006077013
categorical__Strength_4%,0.00060671684
categorical__Strength_10MG/ML,0.00060389587
categorical__Strength_0.3%,0.0005982017
categorical__Strength_5MG;5MG;5MG;5MG,0.0005921522
categorical__Strength_3.125MG;3.125MG;3.125MG;3.125MG,0.0005889044
numeric__Approved_Prior_To_1982,0.0005831662
categorical__Strength_1MG/0.5ML,0.00058189925
categorical__Ingredient_RIVAROXABAN,0.0005779979
categorical__Strength_7.5MG;7.5MG;7.5MG;7.5MG,0.00057572447
categorical__Ingredient_TREPROSTINIL,0.00057460024
categorical__Strength_25MG,0.0005695042
"categorical__DF;Route_INJECTABLE;INTRAMUSCULAR, SUBCUTANEOUS",0.00056871
categorical__Strength_50MG/ML,0.00056460925
categorical__Ingredient_GLATIRAMER ACETATE,0.0005603597
"categorical__DF;Route_GEL, METERED;TRANSDERMAL",0.000560346
categorical__Strength_EQ 0.5MG BASE/ML,0.00055435003
categorical__Strength_100% (10ML),0.0005502533
