Gnrc_Name,Brnd_Name,Tot_Clms,Tot_Drug_Cst,Tot_Benes,Tot_30day_Fills,Tot_Day_Suply,year
Cyproheptadine Hcl,Cyproheptadine Hcl,130958,2448426.87,38506.0,160563.5,4363784,2024
Imiquimod,Imiquimod,130683,3989573.4499999997,85364.0,154672.59999999998,4173491,2024
Bethanechol Chloride,Bethanechol Chloride,130142,7200692.87,35845.0,178278.2,4863767,2024
Sucroferric Oxyhydroxide,Velphoro,129929,363776569.78000003,33120.0,153469.19999999995,4490068,2024
Ibrutinib,Imbruvica,127477,1965538196.6600008,24581.0,129176.50000000001,3673505,2024
Dextromethorphan Hbr/Quinidine,Nuedexta,126336,128153985.96,23944.0,128765.59999999999,2505790,2024
Fluoride (Sodium),Sodium Fluoride,126118,1646833.5,53080.0,167471.90000000002,4808384,2024
Scopolamine,Scopolamine,125888,10941823.930000002,39680.0,128142.90000000001,2418446,2024
Colesevelam Hcl,Colesevelam Hcl,125726,18868378.049999997,38332.0,200392.70000000004,5740695,2024
Neomycin/Polymyxin B/Hydrocort,Neomycin-Polymyxin-Hc,123913,6681577.100000001,97822.0,128616.20000000001,1946364,2024
Betamethasone Valerate,Betamethasone Valerate,123855,3911369.6499999985,63586.0,131907.5,3120823,2024
Atropine Sulfate,Atropine Sulfate,122812,4843166.7,70034.0,162064.29999999996,3892037,2024
Abacavir/Dolutegravir/Lamivudi,Triumeq,122674,480628631.42,21478.0,130271.1,3894476,2024
Insulin Lispro Protamin/Lispro,Humalog Mix 75-25 Kwikpen,122523,35937022.949999996,35866.0,183609.80000000002,5107719,2024
Trimethoprim,Trimethoprim,122043,6228939.970000003,39628.0,200814.09999999998,5618628,2024
Pitavastatin Calcium,Livalo,121407,41939623.08999999,34870.0,220296.4,6559865,2024
Glipizide/Metformin Hcl,Glipizide-Metformin,120960,6126322.089999999,34541.0,271535.60000000003,8094840,2024
Rabeprazole Sodium,Rabeprazole Sodium,120239,6076635.73,39101.0,230770.10000000006,6854275,2024
Secukinumab,Cosentyx Sensoready (2 Pens),119311,971715939.8800006,31919.0,123831.00000000003,3484643,2024
Pimavanserin Tartrate,Nuplazid,116719,520417377.05999994,22903.0,125806.60000000003,3108931,2024
Canagliflozin,Invokana,116409,98621209.56000002,33863.0,182976.99999999997,5252986,2024
Desmopressin Acetate,Desmopressin Acetate,116246,8099429.73,33224.0,163185.59999999995,4588229,2024
Sod Sulf/Pot Chloride/Mag Sulf,Sutab,115858,18736826.839999996,113286.0,115902.1,242852,2024
Fluocinolone Acetonide Oil,Fluocinolone Acetonide Oil,114309,4977659.11,78260.0,152247.99999999997,3852823,2024
Tofacitinib Citrate,Xeljanz Xr,114152,676343481.81,23932.0,122775.60000000002,3673416,2024
Rasagiline Mesylate,Rasagiline Mesylate,114040,21678198.85,31033.0,228464.79999999996,6657786,2024
Lumateperone Tosylate,Caplyta,113807,187972064.62,25767.0,117143.59999999999,3327187,2024
Halobetasol Propionate,Halobetasol Propionate,113396,7698145.1,51358.0,119997.00000000003,3347441,2024
Elviteg/Cob/Emtri/Tenof Alafen,Genvoya,112011,466011898.79000014,20245.0,117972.1,3533797,2024
Brivaracetam,Briviact,111759,179183679.96999994,20458.0,121367.99999999999,3401978,2024
Palbociclib,Ibrance,111354,1720573794.9899998,22262.0,111793.39999999998,3085707,2024
Zanubrutinib,Brukinsa,110650,1460269189.5699995,21800.0,111042.90000000001,3324504,2024
Ramelteon,Ramelteon,110574,11209501.379999999,30908.0,125400.1,3441968,2024
Daptomycin,Daptomycin,108740,84040842.14000002,26583.0,108756.50000000001,668596,2024
Tenofovir Alafenamide,Vemlidy,108432,164228279.94,19526.0,115705.20000000001,3468950,2024
Patiromer Calcium Sorbitex,Veltassa,107301,114961001.32999997,31722.0,142871.00000000003,4047553,2024
Ciprofloxacin Hcl/Dexameth,Ciprofloxacin-Dexamethasone,106245,12022292.84,72163.0,107835.29999999997,1486919,2024
Spironolact/Hydrochlorothiazid,Spironolactone-Hctz,105237,3692244.8899999997,31771.0,239154.39999999997,7104704,2024
Cenobamate,Xcopri,103708,146754343.4,16736.0,112239.20000000001,3247266,2024
Abatacept,Orencia Clickject,103691,616325435.7900001,21297.0,109413.20000000001,3070607,2024
Ertapenem Sodium,Ertapenem,103253,42591572.82999998,35881.0,103281.59999999999,573301,2024
Acalabrutinib Maleate,Calquence,103061,1431537798.0699997,21009.0,103681.2,3104812,2024
Teriparatide,Forteo,102964,319546094.40999997,24391.0,109068.49999999999,3118315,2024
Levalbuterol Tartrate,Levalbuterol Tartrate Hfa,102099,6521765.03,35979.0,119012.8,3010406,2024
Acarbose,Acarbose,102012,3556527.5199999986,27834.0,190650.79999999993,5637010,2024
Perfluorohexyloctane/Pf,Miebo,100852,85678537.77000001,31787.0,118049.49999999999,3232267,2024
Telmisartan/Hydrochlorothiazid,Telmisartan-Hydrochlorothiazid,99431,6731949.9399999995,29871.0,234083.90000000008,6999363,2024
Imatinib Mesylate,Imatinib Mesylate,99254,149039286.99,23244.0,105229.1,3132713,2024
Tafamidis,Vyndamax,98896,2504980200.9299994,16340.0,112301.30000000002,3368326,2024
