Gnrc_Name,Brnd_Name,Tot_Clms,Tot_Drug_Cst,Tot_Benes,Tot_30day_Fills,Tot_Day_Suply,year
Acebutolol Hcl,Acebutolol Hcl,32523,1576729.95,9460.0,63353.5,1872624,2021
Acebutolol Hcl,Acebutolol Hcl,29414,1561601.88,8692.0,58315.9,1721531,2022
Acebutolol Hcl,Acebutolol Hcl,27138,1686947.61,7958.0,54313.8,1598529,2023
Acebutolol Hcl,Acebutolol Hcl,27498,1398040.59,8116.0,55524.2,1631959,2024
Acetaminophen,Acetaminophen,40,7182.1,15.0,40.0,141,2021
Acetaminophen,Acetaminophen,19,8810.05,5.0,19.0,133,2022
Acetaminophen,Acetaminophen,159,22319.81,64.0,159.0,643,2023
Acetaminophen,Acetaminophen,418,70718.20999999999,152.0,418.0,1190,2024
Acetaminophen With Codeine,Acetaminophen-Codeine,2429463,29099624.67000001,1102031.0,2443189.1,38529909,2019
Acetaminophen With Codeine,Acetaminophen-Codeine,2260188,31806083.91,962079.0,2271580.4,37185923,2020
Acetaminophen With Codeine,Acetaminophen-Codeine,2082461,33856716.60999999,918082.0,2091137.6,33851995,2021
Acetaminophen With Codeine,Acetaminophen-Codeine,1957144,32033384.71999999,874451.0,1964748.7000000004,31679770,2022
Acetaminophen With Codeine,Acetaminophen-Codeine,1900609,25651625.020000007,870879.0,1906747.2999999996,30577762,2023
Acetaminophen With Codeine,Acetaminophen-Codeine,1717843,26696161.27,756728.0,1724113.400000001,28705583,2024
Acetaminophen/Caff/Dihydrocod,Acetamin-Caff-Dihydrocodeine,1586,366196.02,581.0,1587.1,31559,2019
Acetaminophen/Caff/Dihydrocod,Acetamin-Caff-Dihydrocodeine,1632,409577.89,548.0,1633.9,36466,2020
Acetaminophen/Caff/Dihydrocod,Acetamin-Caff-Dihydrocodeine,1634,405079.47,512.0,1634.5,37194,2021
Acetaminophen/Caff/Dihydrocod,Acetamin-Caff-Dihydrocodeine,891,192522.77,279.0,891.5,21086,2022
Acetaminophen/Caff/Dihydrocod,Acetamin-Caff-Dihydrocodeine,374,76143.29999999999,119.0,374.0,8959,2023
Acetazolamide,Acetazolamide,154045,15331963.74,58353.0,186774.0,4609605,2019
Acetazolamide,Acetazolamide,140430,14148665.050000004,50205.0,175542.90000000002,4510875,2020
Acetazolamide,Acetazolamide Er,142746,10934300.58,53787.0,180163.39999999997,4518686,2021
Acetazolamide,Acetazolamide Er,137050,10316804.57,51911.0,179425.9,4535491,2022
Acetazolamide,Acetazolamide Er,140110,9345948.9,53273.0,185403.8,4729074,2023
Acetazolamide,Acetazolamide,152567,6934383.27,57446.0,200779.1,5115535,2024
Acetazolamide Sodium,Acetazolamide Sodium,50,23604.66,10.0,50.0,329,2019
Acetazolamide Sodium,Acetazolamide Sodium,34,22081.45,5.0,34.0,162,2020
Acetazolamide Sodium,Acetazolamide Sodium,17,8835.78,5.0,17.0,112,2023
Acetic Acid,Acetic Acid,26636,481156.2700000002,8873.0,27524.50000000001,346583,2019
Acetic Acid,Acetic Acid,19983,357201.5699999999,7749.0,20808.000000000004,297294,2020
Acetic Acid,Acetic Acid,19366,360072.4799999999,8812.0,20260.1,312809,2021
Acetic Acid,Acetic Acid,21389,396832.1800000001,9623.0,22612.2,344642,2022
Acetic Acid,Acetic Acid,28758,550202.3700000001,11915.0,30479.999999999996,452608,2023
Acetic Acid,Acetic Acid,36704,664180.1399999998,14362.0,38979.1,571650,2024
Acetohydroxamic Acid,Lithostat,159,199496.32,50.0,183.0,5490,2019
Acetohydroxamic Acid,Lithostat,161,216540.35,55.0,185.0,5550,2020
Acetohydroxamic Acid,Lithostat,131,215417.51,40.0,153.7,4610,2021
Acetohydroxamic Acid,Lithostat,220,210457.14,72.0,275.3,8122,2022
Acetohydroxamic Acid,Lithostat,584,223713.61,178.0,644.5,15435,2023
Acetohydroxamic Acid,Lithostat,659,243464.76,195.0,724.9,15987,2024
Acetylcysteine,Acetylcysteine,16947,1094141.3199999998,3888.0,16956.4,147225,2019
Acetylcysteine,Acetylcysteine,12291,916351.7899999998,2825.0,12296.5,112368,2020
Acetylcysteine,Acetylcysteine,9920,865836.16,2259.0,9921.4,98044,2021
Acetylcysteine,Acetylcysteine,9603,961867.3799999997,2178.0,9607.7,95761,2022
Acetylcysteine,Acetylcysteine,9950,922453.9000000004,2407.0,9952.7,95583,2023
Acetylcysteine,Acetylcysteine,11549,974565.27,2854.0,11555.200000000004,106788,2024
Acitretin,Acitretin,26246,12809400.949999996,7276.0,28138.8,816822,2019
Acitretin,Acitretin,24340,12152020.550000004,6738.0,27870.099999999995,807701,2020
Acitretin,Acitretin,22235,10438704.9,6344.0,26511.2,771914,2021
Acitretin,Acitretin,20314,9338157.57,5861.0,24869.899999999998,725359,2022
Acitretin,Acitretin,21843,9615458.41,6174.0,26543.0,774446,2023
Acitretin,Acitretin,24355,6557561.149999997,6848.0,29681.2,862651,2024
Aclidinium Brom/Formoterol Fum,Duaklir Pressair,57,57504.31,15.0,59.0,1770,2020
Aclidinium Brom/Formoterol Fum,Duaklir Pressair,58,59867.18000000001,25.0,58.0,1722,2021
Aclidinium Brom/Formoterol Fum,Duaklir Pressair,12,7702.44,5.0,12.0,339,2023
Aclidinium Bromide,Tudorza Pressair,26822,12886010.99,8306.0,34188.5,1004330,2019
Aclidinium Bromide,Tudorza Pressair,13537,8685280.31,4388.0,16705.0,487529,2020
Aclidinium Bromide,Tudorza Pressair,7162,4647478.690000002,2452.0,8654.900000000001,253168,2021
Aclidinium Bromide,Tudorza Pressair,3861,2736992.9299999992,1344.0,4623.5,133040,2022
Aclidinium Bromide,Tudorza Pressair,2793,1945376.11,1035.0,3301.1000000000004,96975,2023
Aclidinium Bromide,Tudorza Pressair,1401,663767.8400000003,545.0,1629.8,47308,2024
Acyclovir,Acyclovir,1130256,30979219.51,355779.0,1624528.4,41971731,2019
Acyclovir,Acyclovir,1169322,31869507.980000008,362365.0,1764651.9999999998,46201823,2020
Acyclovir,Acyclovir,1124503,30016364.8,352966.0,1742066.5999999996,46117738,2021
Acyclovir,Acyclovir,1153275,29642221.160000008,361321.0,1814855.9,48160135,2022
Acyclovir,Acyclovir,1183877,28237055.100000005,371383.0,1879538.0000000005,50181284,2023
Acyclovir,Acyclovir,1277281,21677046.680000007,398141.0,2058268.6999999995,55291650,2024
Acyclovir Sodium,Acyclovir Sodium,83,22888.91,15.0,83.0,459,2019
Acyclovir Sodium,Acyclovir Sodium,12,873.25,5.0,12.0,13,2021
Acyclovir Sodium,Acyclovir Sodium,22,3449.17,10.0,22.0,56,2022
Acyclovir Sodium,Acyclovir Sodium,12,1095.48,5.0,12.0,13,2023
Acyclovir Sodium,Acyclovir Sodium,27,2253.41,10.0,27.0,27,2024
