Trade_Name,Alternative_Trade_Name,TE_Code,Alternative_TE_Code,Original_Cost,Estimated_Alternative_Cost,Cost_Reduction_Pct,Original_Benes,Simulated_Access_Coverage_Pct,PMPM_Saving,Cost_Requirement,Access_Requirement,Final_Decision
SOTALOL HYDROCHLORIDE,SORINE,AB,AB,,,,,,,False,False,DATA NEEDED
"DROSPIRENONE, ETHINYL ESTRADIOL AND LEVOMEFOLATE CALCIUM",TYDEMY,AB,AB,,,,,,,False,False,DATA NEEDED
AZASAN,AZATHIOPRINE,AB,AB,,,,,,,False,False,DATA NEEDED
PAROXETINE HYDROCHLORIDE,PAROXETINE,AB,AB,,,,,,,False,False,DATA NEEDED
PAROXETINE,PAROXETINE HYDROCHLORIDE,AB,AB,,,,,,,False,False,DATA NEEDED
DROSPIRENONE AND ETHINYL ESTRADIOL,SYEDA,AB,AB,,,,,,,False,False,DATA NEEDED
LARIN 1.5/30,NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL,AB,AB,,,,,,,False,False,DATA NEEDED
NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL,LARIN 1.5/30,AB,AB,,,,,,,False,False,DATA NEEDED
JUNEL 1.5/30,LARIN 1.5/30,AB,AB,,,,,,,False,False,DATA NEEDED
SYEDA,DROSPIRENONE AND ETHINYL ESTRADIOL,AB,AB,,,,,,,False,False,DATA NEEDED
YAELA,DROSPIRENONE AND ETHINYL ESTRADIOL,AB,AB,,,,,,,False,False,DATA NEEDED
ZUMANDIMINE,DROSPIRENONE AND ETHINYL ESTRADIOL,AB,AB,,,,,,,False,False,DATA NEEDED
HAILEY 1.5/30,LARIN 1.5/30,AB,AB,,,,,,,False,False,DATA NEEDED
AUROVELA 1.5/30,LARIN 1.5/30,AB,AB,,,,,,,False,False,DATA NEEDED
FULVICIN P/G,"GRISEOFULVIN, ULTRAMICROSIZE",AB,AB,,,,,,,False,False,DATA NEEDED
"GRISEOFULVIN,ULTRAMICROSIZE","GRISEOFULVIN, ULTRAMICROSIZE",AB,AB,,,,,,,False,False,DATA NEEDED
PRASUGREL,PRASUGREL HYDROCHLORIDE,AB,AB,,,,,,,False,False,DATA NEEDED
PRASUGREL HYDROCHLORIDE,PRASUGREL,AB,AB,,,,,,,False,False,DATA NEEDED
DROSPIRENONE AND ETHINYL ESTRADIOL,LO-ZUMANDIMINE,AB,AB,,,,,,,False,False,DATA NEEDED
LO-ZUMANDIMINE,DROSPIRENONE AND ETHINYL ESTRADIOL,AB,AB,,,,,,,False,False,DATA NEEDED
LORYNA,DROSPIRENONE AND ETHINYL ESTRADIOL,AB,AB,,,,,,,False,False,DATA NEEDED
MELAMISA,DROSPIRENONE AND ETHINYL ESTRADIOL,AB,AB,,,,,,,False,False,DATA NEEDED
NIKKI,DROSPIRENONE AND ETHINYL ESTRADIOL,AB,AB,,,,,,,False,False,DATA NEEDED
TYDEMY,"DROSPIRENONE, ETHINYL ESTRADIOL AND LEVOMEFOLATE CALCIUM",AB,AB,,,,,,,False,False,DATA NEEDED
EMTRICITABINE AND TENOFOVIR DISOPROXIL FUMARATE,EMTRICITABINE AND  TENOFOVIR DISOPROXIL FUMARATE,AB,AB,,,,,,,False,False,DATA NEEDED
EMTRICITABINE AND  TENOFOVIR DISOPROXIL FUMARATE,EMTRICITABINE AND TENOFOVIR DISOPROXIL FUMARATE,AB,AB,,,,,,,False,False,DATA NEEDED
UREX,METHENAMINE HIPPURATE,AB,AB,,,,,,,False,False,DATA NEEDED
SETLAKIN,ASHLYNA,AB,AB,,,,,,,False,False,DATA NEEDED
ICLEVIA,ASHLYNA,AB,AB,,,,,,,False,False,DATA NEEDED
INTROVALE,ASHLYNA,AB,AB,,,,,,,False,False,DATA NEEDED
QUASENSE,ASHLYNA,AB,AB,,,,,,,False,False,DATA NEEDED
YARGESA,MIGLUSTAT,AB,AB,,,,,,,False,False,DATA NEEDED
TRETINOIN MICROSPHERE,TRETINOIN,AB,AB,,,,,,,False,False,DATA NEEDED
VALNAC,DERMABET,AB,AB,,,,,,,False,False,DATA NEEDED
DERMABET,VALNAC,AB,AB,,,,,,,False,False,DATA NEEDED
BUDESONIDE AND FORMOTEROL FUMARATE DIHYDRATE,BREYNA,AB,AB,,,,,,,False,False,DATA NEEDED
BREYNA,BUDESONIDE AND FORMOTEROL FUMARATE DIHYDRATE,AB,AB,,,,,,,False,False,DATA NEEDED
NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL AND FERROUS FUMARATE,MERZEE,AB,AB,,,,,,,False,False,DATA NEEDED
MERZEE,NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL AND FERROUS FUMARATE,AB,AB,,,,,,,False,False,DATA NEEDED
GEMMILY,NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL AND FERROUS FUMARATE,AB,AB,,,,,,,False,False,DATA NEEDED
DOFETILDE,DOFETILIDE,AB,AB,,,,,,,False,False,DATA NEEDED
VENXXIVA,TIOPRONIN,AB,AB,,,,,,,False,False,DATA NEEDED
TERIL,CARBAMAZEPINE,AB,AB,,,,,,,False,False,DATA NEEDED
PYQUVI,DEFLAZACORT,AB,AB,,,,,,,False,False,DATA NEEDED
DOXORUBICIN HYDROCHLORIDE,DOXORUBICIN HYDROCHLORIDE (LIPOSOMAL),AB,AB,,,,,,,False,False,DATA NEEDED
ENILLORING,ETHINYL ESTRADIOL; ETONOGESTREL,AB,AB,,,,,,,False,False,DATA NEEDED
ETHINYL ESTRADIOL; ETONOGESTREL,ENILLORING,AB,AB,,,,,,,False,False,DATA NEEDED
HALOETTE,ENILLORING,AB,AB,,,,,,,False,False,DATA NEEDED
ELURYNG,ENILLORING,AB,AB,,,,,,,False,False,DATA NEEDED
FLUTICASONE PROPIONATE AND SALMETEROL XINAFOATE,WIXELA INHUB,AB,AB,,,,,,,False,False,DATA NEEDED
ZENATANE,CLARAVIS,AB1,AB1,,,,,,,False,False,DATA NEEDED
AMNESTEEM,CLARAVIS,AB1,AB1,,,,,,,False,False,DATA NEEDED
DILTIAZEM HYDROCHLORIDE,CARTIA XT,AB4,AB3,,,,,,,False,False,DATA NEEDED
GENGRAF,CYCLOSPORINE,AB1,AB1,,,,,,,False,False,DATA NEEDED
DILTIAZEM HYDROCHLORIDE,CARTIA XT,AB3,AB3,,,,,,,False,False,DATA NEEDED
INCASSIA,NORETHINDRONE,AB1,AB2,,,,,,,False,False,DATA NEEDED
ERRIN,NORETHINDRONE,AB2,AB2,,,,,,,False,False,DATA NEEDED
EMZAHH,NORETHINDRONE,AB2,AB2,,,,,,,False,False,DATA NEEDED
CAMILA,NORETHINDRONE,AB1,AB2,,,,,,,False,False,DATA NEEDED
HEATHER,NORETHINDRONE,AB1,AB2,,,,,,,False,False,DATA NEEDED
JENCYCLA,NORETHINDRONE,AB2,AB2,,,,,,,False,False,DATA NEEDED
ALYQ,TADALAFIL,AB2,AB1,,,,,,,False,False,DATA NEEDED
CARTIA XT,DILTIAZEM HYDROCHLORIDE,AB3,AB1,,,,,,,False,False,DATA NEEDED
RELGAABI,GABAPENTIN,AB,AB,,,,,,,False,False,DATA NEEDED
LEVOLET,LEVOTHYROXINE SODIUM,"AB1,AB2,AB3,AB4","AB1,AB2,AB3,AB4",,,,,,,False,False,DATA NEEDED
LEVO-T,LEVOTHYROXINE SODIUM,"AB1,AB2,AB3","AB1,AB2,AB3,AB4",,,,,,,False,False,DATA NEEDED
KLOR-CON M10,POTASSIUM CHLORIDE,AB1,AB2,,,,,,,False,False,DATA NEEDED
LEVONORGESTREL AND ETHINYL ESTRADIOL AND FERROUS FUMARATE,ASHLYNA,AB3,AB,,,,,,,False,False,DATA NEEDED
MINZOYA,ASHLYNA,AB3,AB,,,,,,,False,False,DATA NEEDED
BETA-VAL,BETAMETHASONE VALERATE,AB,AB,,,,,,,False,False,DATA NEEDED
AVITA,TRETINOIN,AB,AB,,,,,,,False,False,DATA NEEDED
BETA-VAL,VALNAC,AB,AB,,,,,,,False,False,DATA NEEDED
SUMATRIPTAN SUCCINATE (AUTOINJECTOR),SUMATRIPTAN SUCCINATE,AB,AB,,,,,,,False,False,DATA NEEDED
ZELVYSIA,SAPROPTERIN DIHYDROCHLORIDE,AB,AB,,,,,,,False,False,DATA NEEDED
VOGELXO,TESTOSTERONE,AB2,AB1,,,,,,,False,False,DATA NEEDED
EPITOL,CARBAMAZEPINE,AB,AB,,,,,,,False,False,DATA NEEDED
