Trade_Name,Ingredient,TE_Code,Alternative_Trade_Name,Alternative_TE_Code,TE_Decision
BUDESONIDE AND FORMOTEROL FUMARATE DIHYDRATE,BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE,AB,BREYNA,AB,TE-EQUIVALENT ALTERNATIVE
BREYNA,BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE,AB,BUDESONIDE AND FORMOTEROL FUMARATE DIHYDRATE,AB,TE-EQUIVALENT ALTERNATIVE
NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL AND FERROUS FUMARATE,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE,AB,MERZEE,AB,TE-EQUIVALENT ALTERNATIVE
MERZEE,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE,AB,NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL AND FERROUS FUMARATE,AB,TE-EQUIVALENT ALTERNATIVE
GEMMILY,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE,AB,NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL AND FERROUS FUMARATE,AB,TE-EQUIVALENT ALTERNATIVE
DOFETILIDE,DOFETILIDE,AB,DOFETILDE,AB,TE-EQUIVALENT ALTERNATIVE
DOFETILDE,DOFETILIDE,AB,DOFETILIDE,AB,TE-EQUIVALENT ALTERNATIVE
TIOPRONIN,TIOPRONIN,AB,VENXXIVA,AB,TE-EQUIVALENT ALTERNATIVE
VENXXIVA,TIOPRONIN,AB,TIOPRONIN,AB,TE-EQUIVALENT ALTERNATIVE
CARBAMAZEPINE,CARBAMAZEPINE,AB,TERIL,AB,TE-EQUIVALENT ALTERNATIVE
TERIL,CARBAMAZEPINE,AB,CARBAMAZEPINE,AB,TE-EQUIVALENT ALTERNATIVE
DEFLAZACORT,DEFLAZACORT,AB,PYQUVI,AB,TE-EQUIVALENT ALTERNATIVE
PYQUVI,DEFLAZACORT,AB,DEFLAZACORT,AB,TE-EQUIVALENT ALTERNATIVE
DOXORUBICIN HYDROCHLORIDE,DOXORUBICIN HYDROCHLORIDE,AB,DOXORUBICIN HYDROCHLORIDE (LIPOSOMAL),AB,TE-EQUIVALENT ALTERNATIVE
ENILLORING,ETHINYL ESTRADIOL; ETONOGESTREL,AB,ETHINYL ESTRADIOL; ETONOGESTREL,AB,TE-EQUIVALENT ALTERNATIVE
ETHINYL ESTRADIOL; ETONOGESTREL,ETHINYL ESTRADIOL; ETONOGESTREL,AB,ENILLORING,AB,TE-EQUIVALENT ALTERNATIVE
HALOETTE,ETHINYL ESTRADIOL; ETONOGESTREL,AB,ENILLORING,AB,TE-EQUIVALENT ALTERNATIVE
ELURYNG,ETHINYL ESTRADIOL; ETONOGESTREL,AB,ENILLORING,AB,TE-EQUIVALENT ALTERNATIVE
FLUTICASONE PROPIONATE AND SALMETEROL XINAFOATE,FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE,AB,WIXELA INHUB,AB,TE-EQUIVALENT ALTERNATIVE
WIXELA INHUB,FLUTICASONE PROPIONATE; SALMETEROL XINAFOATE,AB,FLUTICASONE PROPIONATE AND SALMETEROL XINAFOATE,AB,TE-EQUIVALENT ALTERNATIVE
ZENATANE,ISOTRETINOIN,AB1,CLARAVIS,AB1,TE-EQUIVALENT ALTERNATIVE
AMNESTEEM,ISOTRETINOIN,AB1,CLARAVIS,AB1,TE-EQUIVALENT ALTERNATIVE
ISOTRETINOIN,ISOTRETINOIN,AB2,CLARAVIS,AB1,TE-EQUIVALENT ALTERNATIVE
ISOTRETINOIN,ISOTRETINOIN,AB1,CLARAVIS,AB1,TE-EQUIVALENT ALTERNATIVE
MYORISAN,ISOTRETINOIN,AB1,CLARAVIS,AB1,TE-EQUIVALENT ALTERNATIVE
DILTIAZEM HYDROCHLORIDE,DILTIAZEM HYDROCHLORIDE,AB4,CARTIA XT,AB3,TE-EQUIVALENT ALTERNATIVE
TADALAFIL,TADALAFIL,AB1,ALYQ,AB2,TE-EQUIVALENT ALTERNATIVE
TRETINOIN,TRETINOIN,AB,AVITA,AB,TE-EQUIVALENT ALTERNATIVE
CYCLOSPORINE,CYCLOSPORINE,AB1,GENGRAF,AB1,TE-EQUIVALENT ALTERNATIVE
CYCLOSPORINE,CYCLOSPORINE,AB2,GENGRAF,AB1,TE-EQUIVALENT ALTERNATIVE
GENGRAF,CYCLOSPORINE,AB1,CYCLOSPORINE,AB1,TE-EQUIVALENT ALTERNATIVE
TRETINOIN,TRETINOIN,AB1,AVITA,AB,TE-EQUIVALENT ALTERNATIVE
DILTIAZEM HYDROCHLORIDE,DILTIAZEM HYDROCHLORIDE,AB3,CARTIA XT,AB3,TE-EQUIVALENT ALTERNATIVE
TADALAFIL,TADALAFIL,AB2,ALYQ,AB2,TE-EQUIVALENT ALTERNATIVE
INCASSIA,NORETHINDRONE,AB1,NORETHINDRONE,AB2,TE-EQUIVALENT ALTERNATIVE
ERRIN,NORETHINDRONE,AB2,NORETHINDRONE,AB2,TE-EQUIVALENT ALTERNATIVE
EMZAHH,NORETHINDRONE,AB2,NORETHINDRONE,AB2,TE-EQUIVALENT ALTERNATIVE
CAMILA,NORETHINDRONE,AB1,NORETHINDRONE,AB2,TE-EQUIVALENT ALTERNATIVE
HEATHER,NORETHINDRONE,AB1,NORETHINDRONE,AB2,TE-EQUIVALENT ALTERNATIVE
JENCYCLA,NORETHINDRONE,AB2,NORETHINDRONE,AB2,TE-EQUIVALENT ALTERNATIVE
NORETHINDRONE,NORETHINDRONE,AB1,INCASSIA,AB1,TE-EQUIVALENT ALTERNATIVE
TESTOSTERONE,TESTOSTERONE,AB2,VOGELXO,AB2,TE-EQUIVALENT ALTERNATIVE
ALYQ,TADALAFIL,AB2,TADALAFIL,AB1,TE-EQUIVALENT ALTERNATIVE
CARTIA XT,DILTIAZEM HYDROCHLORIDE,AB3,DILTIAZEM HYDROCHLORIDE,AB1,TE-EQUIVALENT ALTERNATIVE
GABAPENTIN,GABAPENTIN,AB,RELGAABI,AB,TE-EQUIVALENT ALTERNATIVE
RELGAABI,GABAPENTIN,AB,GABAPENTIN,AB,TE-EQUIVALENT ALTERNATIVE
LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM,"AB1,AB2,AB3",LEVOLET,"AB1,AB2,AB3,AB4",TE-EQUIVALENT ALTERNATIVE
LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM,AB4,LEVOLET,"AB1,AB2,AB3,AB4",TE-EQUIVALENT ALTERNATIVE
LEVOTHYROXINE SODIUM,LEVOTHYROXINE SODIUM,AB2,LEVOLET,"AB1,AB2,AB3,AB4",TE-EQUIVALENT ALTERNATIVE
LEVOLET,LEVOTHYROXINE SODIUM,"AB1,AB2,AB3,AB4",LEVOTHYROXINE SODIUM,"AB1,AB2,AB3,AB4",TE-EQUIVALENT ALTERNATIVE
LEVO-T,LEVOTHYROXINE SODIUM,"AB1,AB2,AB3",LEVOTHYROXINE SODIUM,"AB1,AB2,AB3,AB4",TE-EQUIVALENT ALTERNATIVE
POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,AB2,KLOR-CON M10,AB1,TE-EQUIVALENT ALTERNATIVE
POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,AB1,KLOR-CON M10,AB1,TE-EQUIVALENT ALTERNATIVE
KLOR-CON M10,POTASSIUM CHLORIDE,AB1,POTASSIUM CHLORIDE,AB2,TE-EQUIVALENT ALTERNATIVE
LEVONORGESTREL AND ETHINYL ESTRADIOL AND FERROUS FUMARATE,ETHINYL ESTRADIOL; LEVONORGESTREL,AB3,ASHLYNA,AB,TE-EQUIVALENT ALTERNATIVE
MINZOYA,ETHINYL ESTRADIOL; LEVONORGESTREL,AB3,ASHLYNA,AB,TE-EQUIVALENT ALTERNATIVE
POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,AB3,KLOR-CON M10,AB1,TE-EQUIVALENT ALTERNATIVE
BETA-VAL,BETAMETHASONE VALERATE,AB,BETAMETHASONE VALERATE,AB,TE-EQUIVALENT ALTERNATIVE
BETAMETHASONE VALERATE,BETAMETHASONE VALERATE,AB,BETA-VAL,AB,TE-EQUIVALENT ALTERNATIVE
AVITA,TRETINOIN,AB,TRETINOIN,AB,TE-EQUIVALENT ALTERNATIVE
BETA-VAL,BETAMETHASONE VALERATE,AB,VALNAC,AB,TE-EQUIVALENT ALTERNATIVE
SAPROPTERIN DIHYDROCHLORIDE,SAPROPTERIN DIHYDROCHLORIDE,AB,ZELVYSIA,AB,TE-EQUIVALENT ALTERNATIVE
SUMATRIPTAN SUCCINATE,SUMATRIPTAN SUCCINATE,AB,SUMATRIPTAN SUCCINATE (AUTOINJECTOR),AB,TE-EQUIVALENT ALTERNATIVE
SUMATRIPTAN SUCCINATE (AUTOINJECTOR),SUMATRIPTAN SUCCINATE,AB,SUMATRIPTAN SUCCINATE,AB,TE-EQUIVALENT ALTERNATIVE
ZELVYSIA,SAPROPTERIN DIHYDROCHLORIDE,AB,SAPROPTERIN DIHYDROCHLORIDE,AB,TE-EQUIVALENT ALTERNATIVE
VOGELXO,TESTOSTERONE,AB2,TESTOSTERONE,AB1,TE-EQUIVALENT ALTERNATIVE
CARBAMAZEPINE,CARBAMAZEPINE,AB,EPITOL,AB,TE-EQUIVALENT ALTERNATIVE
EPITOL,CARBAMAZEPINE,AB,CARBAMAZEPINE,AB,TE-EQUIVALENT ALTERNATIVE
