Ingredient,DF;Route,Trade_Name,Applicant,Strength,Appl_Type,Appl_No,Product_No,TE_Code,Approval_Date,RLD,RS,Type,Applicant_Full_Name,Dosage_Form,Route_Of_Administration,Approved_Prior_To_1982,Approval_Date_ISO,AB_Family,RLD_Trade_Name,RLD_Appl_No,RLD_Product_No,RLD_TE_Code,Patent_Count,Patent_Numbers,Patent_Expiry,Patent_Use_Codes,Exclusivity_Count,Exclusivity_Codes,Exclusivity_Dates,Predicted_TE_Code,TE_Score,Patent_Score,Exclusivity_Score,RS_Score,Final_Score,Rank
MEMANTINE HYDROCHLORIDE,TABLET;ORAL,MEMANTINE HYDROCHLORIDE,DR REDDYS LABS LTD,10MG,A,90048,2,AB,"Apr 14, 2010",False,True,RX,DR REDDYS LABORATORIES LTD,TABLET,ORAL,False,2010-04-14,True,NAMENDA,21487,2,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,26
DESMOPRESSIN ACETATE,"SPRAY, METERED;NASAL",DESMOPRESSIN ACETATE (NEEDS NO REFRIGERATION),APOTEX,0.01MG/SPRAY,A,76703,1,AB,"Jan 27, 2005",False,True,RX,APOTEX INC,"SPRAY, METERED",NASAL,False,2005-01-27,True,MINIRIN,21333,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,27
DISULFIRAM,TABLET;ORAL,DISULFIRAM,CHARTWELL MOLECULES,500MG,A,91563,2,AB,"Dec 31, 2012",False,True,RX,CHARTWELL MOLECULES LLC,TABLET,ORAL,False,2012-12-31,True,ANTABUSE,88483,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,28
DONEPEZIL HYDROCHLORIDE,"TABLET, ORALLY DISINTEGRATING;ORAL",DONEPEZIL HYDROCHLORIDE,MACLEODS PHARMS LTD,10MG,A,201787,2,AB,"Dec 14, 2012",False,True,RX,MACLEODS PHARMACEUTICALS LTD,"TABLET, ORALLY DISINTEGRATING",ORAL,False,2012-12-14,True,ARICEPT ODT,21720,2,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,29
ALLOPURINOL,TABLET;ORAL,ALLOPURINOL,UNICHEM,300MG,A,211820,2,AB,"Mar 12, 2019",False,True,RX,UNICHEM LABORATORIES LTD,TABLET,ORAL,False,2019-03-12,True,ZYLOPRIM,16084,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,30
SOLIFENACIN SUCCINATE,TABLET;ORAL,SOLIFENACIN SUCCINATE,SCIEGEN PHARMS,10MG,A,211657,2,AB,"May 20, 2019",False,True,RX,SCIEGEN PHARMACEUTICALS INC,TABLET,ORAL,False,2019-05-20,True,VESICARE,21518,2,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,31
AMINOCAPROIC ACID,TABLET;ORAL,AMINOCAPROIC ACID,SUNNY,1GM,A,209060,2,AB,"Nov 27, 2018",False,True,RX,SUNNY PHARMTECH INC,TABLET,ORAL,False,2018-11-27,True,AMICAR,15197,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,32
TORSEMIDE,TABLET;ORAL,TORSEMIDE,PLIVA PHARM IND,20MG,A,76346,3,AB,"May 30, 2003",False,True,RX,PLIVA PHARMACEUTICAL INDUSTRY INC,TABLET,ORAL,False,2003-05-30,True,SOAANZ,213218,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,33
NEVIRAPINE,"TABLET, EXTENDED RELEASE;ORAL",NEVIRAPINE,MACLEODS PHARMS LTD,400MG,A,206879,1,AB,"Oct 6, 2017",False,True,RX,MACLEODS PHARMACEUTICALS LTD,"TABLET, EXTENDED RELEASE",ORAL,False,2017-10-06,True,VIRAMUNE XR,201152,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,34
PRAMIPEXOLE DIHYDROCHLORIDE,"TABLET, EXTENDED RELEASE;ORAL",PRAMIPEXOLE DIHYDROCHLORIDE,DR REDDYS,0.375MG,A,203354,1,AB,"Aug 7, 2015",False,True,RX,DR REDDYS LABORATORIES LTD,"TABLET, EXTENDED RELEASE",ORAL,False,2015-08-07,True,MIRAPEX ER,22421,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,1.0,1.0,35
